S_No,MetroMate_Platform,B2B_B2C,Category,Sub_Category,Repair_Related_Service,Maintenance_Related_Service,Keywords_Tags
1,MetroMate B2B + B2C,Both,Laptop & Computer Sales,Business Laptop,Business Laptop – Repair & Troubleshooting,Business Laptop – Maintenance & AMC,"laptop,computer_sales,business_laptop"
2,MetroMate B2B + B2C,Both,Laptop & Computer Sales,Desktop Computer,Desktop Computer – Repair & Troubleshooting,Desktop Computer – Maintenance & AMC,"laptop,computer_sales,desktop_computer"
3,MetroMate B2B + B2C,Both,Computer Accessories,Keyboard & Mouse,Keyboard & Mouse – Repair & Troubleshooting,Keyboard & Mouse – Maintenance & AMC,"computer_accessories,keyboard,mouse"
4,MetroMate B2B + B2C,Both,Computer Accessories,Monitor,Monitor – Repair & Troubleshooting,Monitor – Maintenance & AMC,"computer_accessories,monitor"
5,MetroMate B2B + B2C,Both,Router Installation,WiFi Router Setup,WiFi Router – Re-installation & Fix,WiFi Router – Periodic Servicing,"router_installation,wifi_router_setup"
6,MetroMate B2B + B2C,Both,Router Installation,Signal Optimization,Signal Issues – Diagnosis & Fix,Signal Optimization – Periodic Review,"router_installation,signal_optimization"
7,MetroMate B2B,B2B,Network Setup,Office LAN Setup,LAN Setup – Re-installation & Fix,Office LAN – Maintenance & AMC,"network_setup,office_lan_setup"
8,MetroMate B2B,B2B,Network Setup,WiFi Networking,WiFi Network – Troubleshooting & Fix,WiFi Networking – Maintenance & AMC,"network_setup,wifi_networking"
9,MetroMate B2B + B2C,Both,Switch & Hub Services,Managed Switch,Managed Switch – Repair & Troubleshooting,Managed Switch – Maintenance & AMC,"switch,hub_services,managed_switch"
10,MetroMate B2B + B2C,Both,Switch & Hub Services,Network Rack Setup,Network Rack – Repair & Re-installation,Network Rack – Maintenance & AMC,"switch,hub_services,network_rack_setup"
11,MetroMate B2B + B2C,Both,CCTV Installation,IP Camera Setup,IP Camera – Repair & Troubleshooting,IP Camera – Maintenance & AMC,"cctv_installation,ip_camera_setup"
12,MetroMate B2B + B2C,Both,CCTV Installation,DVR/NVR Installation,DVR/NVR – Repair & Troubleshooting,DVR/NVR – Maintenance & AMC,"cctv_installation,dvr/nvr_installation"
13,MetroMate B2B + B2C,Both,Surveillance Systems,Remote Monitoring,Remote Monitoring – Issue Fix & Support,Remote Monitoring – Maintenance & AMC,"surveillance_systems,remote_monitoring"
14,MetroMate B2B + B2C,Both,Surveillance Systems,Security Recording,Security Recording – Repair & Troubleshooting,Security Recording – Maintenance & AMC,"surveillance_systems,security_recording"
15,MetroMate B2B,B2B,Cloud Services,Cloud Backup,Cloud Backup – Bug Fix & Recovery Support,Cloud Backup – Updates & Optimization,"cloud_services,cloud_backup"
16,MetroMate B2B,B2B,Cloud Services,Cloud Storage,Cloud Storage – Issue Fix & Support,Cloud Storage – Updates & Optimization,"cloud_services,cloud_storage"
17,MetroMate B2B,B2B,Software Development,CRM Development,CRM – Bug Fix & Support,CRM – Updates & Optimization,"software_development,crm_development"
18,MetroMate B2B,B2B,Software Development,Custom Software,Custom Software – Bug Fix & Support,Custom Software – Updates & Optimization,"software_development,custom_software"
19,MetroMate B2B,B2B,Website Development,Business Website,Business Website – Bug Fix & Support,Business Website – Updates & Optimization,"website_development,business_website"
20,MetroMate B2B,B2B,Website Development,E-commerce Website,E-commerce Website – Bug Fix & Support,E-commerce Website – Updates & Optimization,"website_development,e-commerce_website"
21,MetroMate B2B + B2C,Both,AI Automation,Chatbot Automation,Chatbot – Bug Fix & Retraining,Chatbot – Updates & Optimization,"ai_automation,chatbot_automation"
22,MetroMate B2B + B2C,Both,AI Automation,Workflow Automation,Workflow Automation – Fix & Redeployment,Workflow Automation – Updates & Optimization,"ai_automation,workflow_automation"
23,MetroMate B2B,B2B,IT Staffing,Software Developers,Developer – Replacement & Re-assignment,Developer – Performance Review,"it_staffing,software_developers"
24,MetroMate B2B,B2B,IT Staffing,Support Engineers,Support Engineer – Replacement & Re-assignment,Support Engineer – Performance Review,"it_staffing,support_engineers"
25,MetroMate B2B + B2C,Both,Interior Design,Office Interior,Office Interior – Repair & Rework,Office Interior – Maintenance & Upkeep,"interior_design,office_interior"
26,MetroMate B2B + B2C,Both,Interior Design,Home Interior,Home Interior – Repair & Rework,Home Interior – Maintenance & Upkeep,"interior_design,home_interior"
27,MetroMate B2B + B2C,Both,Furniture Services,Office Furniture,Office Furniture – Repair & Troubleshooting,Office Furniture – Maintenance & AMC,"furniture_services,office_furniture"
28,MetroMate B2B + B2C,Both,Furniture Services,Modular Furniture,Modular Furniture – Repair & Troubleshooting,Modular Furniture – Maintenance & AMC,"furniture_services,modular_furniture"
29,MetroMate B2B + B2C,Both,Carpenter,Furniture Repair,Furniture – Repair & Restoration,Furniture – Maintenance & Polishing,"carpenter,furniture_repair"
30,MetroMate B2B + B2C,Both,Carpenter,Custom Furniture,Custom Furniture – Rework & Fix,Custom Furniture – Maintenance & Polishing,"carpenter,custom_furniture"
31,MetroMate B2B + B2C,Both,Fabrication,MS Fabrication,MS Fabrication – Rework & Finishing,MS Fabrication – Maintenance & Finishing,"fabrication,ms_fabrication"
32,MetroMate B2B + B2C,Both,Fabrication,SS Fabrication,SS Fabrication – Rework & Finishing,SS Fabrication – Maintenance & Finishing,"fabrication,ss_fabrication"
33,MetroMate B2B + B2C,Both,Plumbing,Leakage Repair,Leakage – Repair & Troubleshooting,Pipeline – Maintenance & AMC,"plumbing,leakage_repair"
34,MetroMate B2B + B2C,Both,Plumbing,Pipeline Installation,Pipeline – Repair & Troubleshooting,Pipeline – Maintenance & AMC,"plumbing,pipeline_installation"
35,MetroMate B2B + B2C,Both,Electrician,Wiring Repair,Wiring – Repair & Troubleshooting,Wiring – Maintenance & AMC,"electrician,wiring_repair"
36,MetroMate B2B + B2C,Both,Electrician,New Electrical Setup,Electrical Setup – Repair & Troubleshooting,Electrical Setup – Maintenance & AMC,"electrician,new_electrical_setup"
37,MetroMate B2B + B2C,Both,Water Tank Cleaning,Underground Tank Cleaning,Underground Tank – Re-cleaning & Quality Fix,Underground Tank – Scheduled Deep Clean,"water_tank_cleaning,underground_tank_cleaning"
38,MetroMate B2B + B2C,Both,Water Tank Cleaning,Overhead Tank Cleaning,Overhead Tank – Re-cleaning & Quality Fix,Overhead Tank – Scheduled Deep Clean,"water_tank_cleaning,overhead_tank_cleaning"
39,MetroMate B2B + B2C,Both,Water Motor Installation,Borewell Pump Installation,Borewell Pump – Repair & Troubleshooting,Borewell Pump – Maintenance & AMC,"water_motor_installation,borewell_pump_installation"
40,MetroMate B2B + B2C,Both,Water Motor Installation,Booster Pump Setup,Booster Pump – Repair & Troubleshooting,Booster Pump – Maintenance & AMC,"water_motor_installation,booster_pump_setup"
41,MetroMate B2B + B2C,Both,Water Motor Repair,Pump Repair,Pump – Repair & Troubleshooting,Pump – Maintenance & AMC,"water_motor_repair,pump_repair"
42,MetroMate B2B + B2C,Both,Water Motor Repair,Motor Rewinding,Motor Rewinding – Repair & Troubleshooting,Motor – Maintenance & AMC,"water_motor_repair,motor_rewinding"
43,MetroMate B2B + B2C,Both,RO Installation,Home RO Setup,Home RO – Repair & Troubleshooting,Home RO – Maintenance & AMC,"ro_installation,home_ro_setup"
44,MetroMate B2B + B2C,Both,RO Installation,Commercial RO Setup,Commercial RO – Repair & Troubleshooting,Commercial RO – Maintenance & AMC,"ro_installation,commercial_ro_setup"
45,MetroMate B2B + B2C,Both,Water Filter Services,Filter Replacement,Filter – Replacement & Fix,Filter – Scheduled Replacement & AMC,"water_filter_services,filter_replacement"
46,MetroMate B2B + B2C,Both,Water Filter Services,RO Maintenance,RO System – Repair & Troubleshooting,RO System – Maintenance & AMC,"water_filter_services,ro_maintenance"
47,MetroMate B2B + B2C,Both,Two Wheeler Sales,New Bike,New Bike – Warranty & Replacement Support,New Bike – After-Sales Service,"two_wheeler_sales,new_bike"
48,MetroMate B2B + B2C,Both,Two Wheeler Sales,Electric Scooter,Electric Scooter – Warranty & Replacement Support,Electric Scooter – After-Sales Service,"two_wheeler_sales,electric_scooter"
49,MetroMate B2B + B2C,Both,Two Wheeler Repair,Engine Repair,Engine – Repair & Troubleshooting,Engine – Maintenance & AMC,"two_wheeler_repair,engine_repair"
50,MetroMate B2B + B2C,Both,Two Wheeler Repair,Breakdown Assistance,Breakdown – Emergency Repair & Assistance,Vehicle – Preventive Maintenance,"two_wheeler_repair,breakdown_assistance"
51,MetroMate B2B + B2C,Both,Two Wheeler Service,General Service,General Service – Re-service & Fix,General Service – Periodic Maintenance,"two_wheeler_service,general_service"
52,MetroMate B2B + B2C,Both,Two Wheeler Service,Oil Change,Oil Change – Re-service & Fix,Oil Change – Periodic Schedule,"two_wheeler_service,oil_change"
53,MetroMate B2B + B2C,Both,Four Wheeler Sales,New Car,New Car – Warranty & Replacement Support,New Car – After-Sales Service,"four_wheeler_sales,new_car"
54,MetroMate B2B + B2C,Both,Four Wheeler Sales,Commercial Vehicle,Commercial Vehicle – Warranty & Replacement Support,Commercial Vehicle – After-Sales Service,"four_wheeler_sales,commercial_vehicle"
55,MetroMate B2B + B2C,Both,Four Wheeler Repair,Engine Work,Engine – Repair & Troubleshooting,Engine – Maintenance & AMC,"four_wheeler_repair,engine_work"
56,MetroMate B2B + B2C,Both,Four Wheeler Repair,Accident Repair,Accident Repair – Rework & Fix,Body – Maintenance & Inspection,"four_wheeler_repair,accident_repair"
57,MetroMate B2B + B2C,Both,Four Wheeler Service,Routine Service,Routine Service – Re-service & Fix,Routine Service – Periodic Maintenance,"four_wheeler_service,routine_service"
58,MetroMate B2B + B2C,Both,Four Wheeler Service,Wheel Alignment,Wheel Alignment – Re-calibration & Fix,Wheel Alignment – Periodic Check,"four_wheeler_service,wheel_alignment"
59,MetroMate B2B + B2C,Both,Auto Spare Parts,Battery,Battery – Repair & Replacement Support,Battery – Maintenance & AMC,"auto_spare_parts,battery"
60,MetroMate B2B + B2C,Both,Auto Spare Parts,Tyres,Tyres – Replacement & Fitting Support,Tyres – Periodic Inspection,"auto_spare_parts,tyres"
61,MetroMate B2B,B2B,Corporate Gifting,Employee Gifts,Employee Gifts – Replacement & Quality Fix,Corporate Gifting – Ongoing Procurement,"corporate_gifting,employee_gifts"
62,MetroMate B2B,B2B,Corporate Gifting,Festival Hampers,Festival Hampers – Replacement & Quality Fix,Festival Hampers – Ongoing Procurement,"corporate_gifting,festival_hampers"
63,MetroMate B2B,B2B,Real Estate Consultant,Property Purchase,Property Purchase – Dispute Resolution,Property – Renewal & Review,"real_estate_consultant,property_purchase"
64,MetroMate B2B,B2B,Real Estate Consultant,Property Rental,Property Rental – Dispute Resolution,Property Rental – Renewal & Review,"real_estate_consultant,property_rental"
65,MetroMate B2B + B2C,Both,Co-working Office Provider,Dedicated Desk,Dedicated Desk – Issue Resolution,Dedicated Desk – Renewal & Review,"co-working_office_provider,dedicated_desk"
66,MetroMate B2B + B2C,Both,Co-working Office Provider,Private Cabin,Private Cabin – Issue Resolution,Private Cabin – Renewal & Review,"co-working_office_provider,private_cabin"
67,MetroMate B2C,B2C,Doctor On Call,General Physician,General Physician – Emergency Follow-up,General Physician – Care Plan Review,"doctor_on_call,general_physician"
68,MetroMate B2C,B2C,Doctor On Call,Home Visit Doctor,Home Visit Doctor – Emergency Follow-up,Home Visit – Care Plan Review,"doctor_on_call,home_visit_doctor"
69,MetroMate B2C,B2C,Nursing Staff,Home Nurse,Home Nurse – Replacement & Support,Home Nurse – Care Plan Review,"nursing_staff,home_nurse"
70,MetroMate B2C,B2C,Nursing Staff,Elderly Care,Elderly Care – Issue Resolution & Support,Elderly Care – Care Plan Review,"nursing_staff,elderly_care"
71,MetroMate B2C,B2C,Pharmacy,Prescription Medicines,Prescription Medicines – Reorder & Correction,Prescription Medicines – Refill Schedule,"pharmacy,prescription_medicines"
72,MetroMate B2C,B2C,Pharmacy,OTC Medicines,OTC Medicines – Reorder & Correction,OTC Medicines – Refill Schedule,"pharmacy,otc_medicines"
73,MetroMate B2B + B2C,Both,Medical Delivery,Medicine Delivery,Medicine Delivery – Re-delivery & Fix,Medicine Delivery – Schedule Optimization,"medical_delivery,medicine_delivery"
74,MetroMate B2B + B2C,Both,Medical Delivery,Lab Sample Pickup,Lab Sample Pickup – Re-pickup & Fix,Lab Pickup – Schedule Optimization,"medical_delivery,lab_sample_pickup"
75,MetroMate B2B + B2C,Both,Home Healthcare,Patient Care,Patient Care – Emergency Support,Patient Care – Care Plan Review,"home_healthcare,patient_care"
76,MetroMate B2B + B2C,Both,Home Healthcare,Physiotherapy,Physiotherapy – Session Correction & Support,Physiotherapy – Progress Review,"home_healthcare,physiotherapy"
77,MetroMate B2B,B2B,Income Tax Consultant,ITR Filing,ITR Filing – Rectification & Resubmission,ITR Filing – Annual Review & Advisory,"income_tax_consultant,itr_filing"
78,MetroMate B2B,B2B,Income Tax Consultant,Tax Planning,Tax Planning – Review & Correction,Tax Planning – Ongoing Advisory,"income_tax_consultant,tax_planning"
79,MetroMate B2B,B2B,GST Registration,New GST Registration,GST Registration – Correction & Resubmission,GST Registration – Ongoing Compliance,"gst_registration,new_gst_registration"
80,MetroMate B2B,B2B,GST Registration,GST Amendment,GST Amendment – Correction & Resubmission,GST Amendment – Ongoing Compliance,"gst_registration,gst_amendment"
81,MetroMate B2B,B2B,GST Filing,Monthly Filing,GST Filing – Rectification & Resubmission,GST Filing – Ongoing Compliance,"gst_filing,monthly_filing"
82,MetroMate B2B,B2B,GST Filing,Annual Return,GST Annual Return – Rectification & Resubmission,GST Annual Return – Ongoing Compliance,"gst_filing,annual_return"
83,MetroMate B2B + B2C,Both,Mutual Fund Advisor,SIP Planning,SIP Planning – Review & Correction,SIP – Portfolio Review & Advisory,"mutual_fund_advisor,sip_planning"
84,MetroMate B2B + B2C,Both,Mutual Fund Advisor,Wealth Planning,Wealth Planning – Review & Correction,Wealth Planning – Ongoing Advisory,"mutual_fund_advisor,wealth_planning"
85,MetroMate B2B + B2C,Both,Stock Portfolio Manager,Portfolio Review,Portfolio Review – Correction & Rebalancing,Portfolio – Periodic Review & Advisory,"stock_portfolio_manager,portfolio_review"
86,MetroMate B2B + B2C,Both,Stock Portfolio Manager,Investment Advisory,Investment Advisory – Review & Correction,Investment – Ongoing Advisory,"stock_portfolio_manager,investment_advisory"
87,MetroMate B2B + B2C,Both,Health Insurance,Individual Policy,Individual Policy – Claim Assistance,Individual Policy – Renewal & Review,"health_insurance,individual_policy"
88,MetroMate B2B + B2C,Both,Health Insurance,Family Floater,Family Floater – Claim Assistance,Family Floater – Renewal & Review,"health_insurance,family_floater"
89,MetroMate B2B + B2C,Both,Life Insurance,Term Plan,Term Plan – Claim Assistance,Term Plan – Renewal & Review,"life_insurance,term_plan"
90,MetroMate B2B + B2C,Both,Life Insurance,Investment Plan,Investment Plan – Review & Correction,Investment Plan – Renewal & Review,"life_insurance,investment_plan"
91,MetroMate B2B + B2C,Both,Gold Jewellery,Gold Chain,Gold Chain – Repair & Polishing,Gold Chain – Cleaning & Maintenance,"gold_jewellery,gold_chain"
92,MetroMate B2B + B2C,Both,Gold Jewellery,Gold Ring,Gold Ring – Repair & Polishing,Gold Ring – Cleaning & Maintenance,"gold_jewellery,gold_ring"
93,MetroMate B2B + B2C,Both,Silver Jewellery,Silver Coin,Silver Coin – Repair & Polishing,Silver Coin – Cleaning & Maintenance,"silver_jewellery,silver_coin"
94,MetroMate B2B + B2C,Both,Silver Jewellery,Silver Articles,Silver Articles – Repair & Polishing,Silver Articles – Cleaning & Maintenance,"silver_jewellery,silver_articles"
95,MetroMate B2B + B2C,Both,Diamond Jewellery,Diamond Ring,Diamond Ring – Repair & Polishing,Diamond Ring – Cleaning & Maintenance,"diamond_jewellery,diamond_ring"
96,MetroMate B2B + B2C,Both,Diamond Jewellery,Diamond Necklace,Diamond Necklace – Repair & Polishing,Diamond Necklace – Cleaning & Maintenance,"diamond_jewellery,diamond_necklace"
97,MetroMate B2B + B2C,Both,Gems & Jewellery,Precious Stones,Precious Stones – Re-setting & Fix,Precious Stones – Cleaning & Maintenance,"gems,jewellery,precious_stones"
98,MetroMate B2B + B2C,Both,Gems & Jewellery,Customized Jewellery,Customized Jewellery – Rework & Fix,Customized Jewellery – Cleaning & Maintenance,"gems,jewellery,customized_jewellery"
99,MetroMate B2B + B2C,Both,Mobile Sales,Smartphone,Smartphone – Repair & Troubleshooting,Smartphone – Maintenance & AMC,"mobile_sales,smartphone"
100,MetroMate B2B + B2C,Both,Mobile Sales,Business Mobile,Business Mobile – Repair & Troubleshooting,Business Mobile – Maintenance & AMC,"mobile_sales,business_mobile"
101,MetroMate B2B + B2C,Both,Mobile Accessories,Charger,Charger – Repair & Replacement Support,Charger – After-Sales Service,"mobile_accessories,charger"
102,MetroMate B2B + B2C,Both,Mobile Accessories,Earbuds,Earbuds – Repair & Replacement Support,Earbuds – After-Sales Service,"mobile_accessories,earbuds"
103,MetroMate B2B + B2C,Both,Grocery Delivery,Monthly Grocery,Monthly Grocery – Reorder & Issue Resolution,Monthly Grocery – Schedule Optimization,"grocery_delivery,monthly_grocery"
104,MetroMate B2B + B2C,Both,Grocery Delivery,Express Delivery,Express Delivery – Re-delivery & Fix,Grocery Delivery – Schedule Optimization,"grocery_delivery,express_delivery"
105,MetroMate B2B + B2C,Both,Newspaper Subscription,Daily Newspaper,Daily Newspaper – Missed Issue Resolution,Daily Newspaper – Subscription Review,"newspaper_subscription,daily_newspaper"
106,MetroMate B2B + B2C,Both,Newspaper Subscription,Business Newspaper,Business Newspaper – Missed Issue Resolution,Business Newspaper – Subscription Review,"newspaper_subscription,business_newspaper"
107,MetroMate B2C,B2C,Ladies Dresses,Ethnic Wear,Ethnic Wear – Return & Exchange Support,Ethnic Wear – Alteration & Upkeep,"ladies_dresses,ethnic_wear"
108,MetroMate B2C,B2C,Ladies Dresses,Western Wear,Western Wear – Return & Exchange Support,Western Wear – Alteration & Upkeep,"ladies_dresses,western_wear"
109,MetroMate B2C,B2C,Saree Seller,Silk Saree,Silk Saree – Return & Exchange Support,Silk Saree – Care & Upkeep,"saree_seller,silk_saree"
110,MetroMate B2C,B2C,Saree Seller,Designer Saree,Designer Saree – Return & Exchange Support,Designer Saree – Care & Upkeep,"saree_seller,designer_saree"
111,MetroMate B2B + B2C,Both,School Stationery,Notebooks,Notebooks – Reorder & Quality Fix,Notebooks – Consumables Restocking,"school_stationery,notebooks"
112,MetroMate B2B + B2C,Both,School Stationery,School Kits,School Kits – Reorder & Quality Fix,School Kits – Consumables Restocking,"school_stationery,school_kits"
113,MetroMate B2B + B2C,Both,Office Stationery,Printer Paper,Printer Paper – Reorder & Quality Fix,Printer Paper – Consumables Restocking,"office_stationery,printer_paper"
114,MetroMate B2B + B2C,Both,Office Stationery,Office Supplies,Office Supplies – Reorder & Quality Fix,Office Supplies – Consumables Restocking,"office_stationery,office_supplies"
115,MetroMate B2B + B2C,Both,Photocopy Services,Xerox,Xerox – Reprint & Quality Fix,Xerox Machine – Maintenance & AMC,"photocopy_services,xerox"
116,MetroMate B2B + B2C,Both,Photocopy Services,Document Printing,Document Printing – Reprint & Quality Fix,Document Printing – Periodic Servicing,"photocopy_services,document_printing"
117,MetroMate B2B + B2C,Both,Cook On Call,Home Cook,Home Cook – Replacement & Quality Resolution,Home Cook – Ongoing Review,"cook_on_call,home_cook"
118,MetroMate B2B + B2C,Both,Cook On Call,Event Cook,Event Cook – Replacement & Quality Resolution,Event Cook – Ongoing Review,"cook_on_call,event_cook"
119,MetroMate B2C,B2C,Tiffin Services,Daily Tiffin,Daily Tiffin – Quality Complaint Resolution,Daily Tiffin – Menu & Schedule Review,"tiffin_services,daily_tiffin"
120,MetroMate B2C,B2C,Tiffin Services,Corporate Tiffin,Corporate Tiffin – Quality Complaint Resolution,Corporate Tiffin – Menu & Schedule Review,"tiffin_services,corporate_tiffin"
121,MetroMate B2B + B2C,Both,Dining Hall Services,Marriage Function,Marriage Function – Issue Resolution & Support,Dining Hall – Booking & Schedule Review,"dining_hall_services,marriage_function"
122,MetroMate B2B + B2C,Both,Dining Hall Services,Corporate Event,Corporate Event – Issue Resolution & Support,Dining Hall – Booking & Schedule Review,"dining_hall_services,corporate_event"
123,MetroMate B2B + B2C,Both,Fresh Fruit Supplier,Seasonal Fruits,Seasonal Fruits – Quality Complaint & Return,Seasonal Fruits – Supply Schedule Review,"fresh_fruit_supplier,seasonal_fruits"
124,MetroMate B2B + B2C,Both,Fresh Fruit Supplier,Bulk Supply,Bulk Fruit Supply – Quality Complaint & Return,Bulk Fruit Supply – Supply Schedule Review,"fresh_fruit_supplier,bulk_supply"
125,MetroMate B2B + B2C,Both,Fresh Vegetable Supplier,Daily Supply,Daily Vegetable Supply – Quality Complaint & Return,Daily Vegetable Supply – Schedule Review,"fresh_vegetable_supplier,daily_supply"
126,MetroMate B2B + B2C,Both,Fresh Vegetable Supplier,Bulk Supply,Bulk Vegetable Supply – Quality Complaint & Return,Bulk Vegetable Supply – Schedule Review,"fresh_vegetable_supplier,bulk_supply"
127,MetroMate B2B,B2B,Residential Security Guard,Society Security,Society Security – Incident Response & Fix,Society Security – Guard Performance Review,"residential_security_guard,society_security"
128,MetroMate B2B,B2B,Residential Security Guard,Gated Community Security,Gated Community Security – Incident Response,Gated Community – Guard Performance Review,"residential_security_guard,gated_community_security"
129,MetroMate B2B,B2B,Corporate Security Guard,Office Security,Office Security – Incident Response & Fix,Office Security – Guard Performance Review,"corporate_security_guard,office_security"
130,MetroMate B2B,B2B,Corporate Security Guard,Factory Security,Factory Security – Incident Response & Fix,Factory Security – Guard Performance Review,"corporate_security_guard,factory_security"
131,MetroMate B2B + B2C,Both,Security Manpower Agency,Guard Deployment,Guard Deployment – Replacement & Support,Guard Deployment – Performance Review,"security_manpower_agency,guard_deployment"
132,MetroMate B2B + B2C,Both,Security Manpower Agency,Bouncer Services,Bouncer Services – Replacement & Support,Bouncer Services – Performance Review,"security_manpower_agency,bouncer_services"
133,MetroMate B2B + B2C,Both,Private Tuition,One-to-One Tuition,One-to-One Tuition – Remedial Sessions,One-to-One Tuition – Progress Review,"private_tuition,one-to-one_tuition"
134,MetroMate B2B + B2C,Both,Private Tuition,Home Tuition,Home Tuition – Remedial Sessions,Home Tuition – Progress Review,"private_tuition,home_tuition"
135,MetroMate B2B + B2C,Both,Group Tuition,School Subjects,School Subjects – Remedial Sessions,School Subjects – Progress Review,"group_tuition,school_subjects"
136,MetroMate B2B + B2C,Both,Group Tuition,Competitive Exams,Competitive Exams – Remedial Sessions,Competitive Exams – Progress Review,"group_tuition,competitive_exams"
